"Region","Alder","Kon","000007Y7 2024"
"2062C1070_DeSO2025","70-74","1+2",83
"2062C1070_DeSO2025","75-79","1+2",111
"2062C1070_DeSO2025","80-","1+2",98
"2062C1080_DeSO2025","totalt","1+2",2334
"2062C1080_DeSO2025","65-69","1+2",162
"2062C1080_DeSO2025","70-74","1+2",181
"2062C1080_DeSO2025","75-79","1+2",135
"2062C1080_DeSO2025","80-","1+2",140
"2080A0010_DeSO2025","totalt","1+2",1834
"2080A0010_DeSO2025","65-69","1+2",129
"2080A0010_DeSO2025","70-74","1+2",98
"2080A0010_DeSO2025","75-79","1+2",101
"2080A0010_DeSO2025","80-","1+2",88
"2080A0020_DeSO2025","totalt","1+2",2168
"2080A0020_DeSO2025","65-69","1+2",143
"2080A0020_DeSO2025","70-74","1+2",115
"2080A0020_DeSO2025","75-79","1+2",120
"2080A0020_DeSO2025","80-","1+2",98
"2080A0030_DeSO2025","totalt","1+2",1797
"2080A0030_DeSO2025","65-69","1+2",139
"2080A0030_DeSO2025","70-74","1+2",114
"2080A0030_DeSO2025","75-79","1+2",102
"2080A0030_DeSO2025","80-","1+2",109
"2080A0040_DeSO2025","totalt","1+2",1341
"2080A0040_DeSO2025","65-69","1+2",96
"2080A0040_DeSO2025","70-74","1+2",83
"2080A0040_DeSO2025","75-79","1+2",98
"2080A0040_DeSO2025","80-","1+2",90
"2080A0050_DeSO2025","totalt","1+2",1563
"2080A0050_DeSO2025","65-69","1+2",115
"2080A0050_DeSO2025","70-74","1+2",104
"2080A0050_DeSO2025","75-79","1+2",98
"2080A0050_DeSO2025","80-","1+2",111
"2080A0060_DeSO2025","totalt","1+2",1096
"2080A0060_DeSO2025","65-69","1+2",101
"2080A0060_DeSO2025","70-74","1+2",73
"2080A0060_DeSO2025","75-79","1+2",66
"2080A0060_DeSO2025","80-","1+2",88
"2080B2010_DeSO2025","totalt","1+2",1090
"2080B2010_DeSO2025","65-69","1+2",57
"2080B2010_DeSO2025","70-74","1+2",55
"2080B2010_DeSO2025","75-79","1+2",66
"2080B2010_DeSO2025","80-","1+2",105
"2080B2020_DeSO2025","totalt","1+2",952
"2080B2020_DeSO2025","65-69","1+2",56
"2080B2020_DeSO2025","70-74","1+2",64
"2080B2020_DeSO2025","75-79","1+2",79
"2080B2020_DeSO2025","80-","1+2",92
"2080B3010_DeSO2025","totalt","1+2",2020
"2080B3010_DeSO2025","65-69","1+2",122
"2080B3010_DeSO2025","70-74","1+2",133
"2080B3010_DeSO2025","75-79","1+2",147
"2080B3010_DeSO2025","80-","1+2",201
"2080B4010_DeSO2025","totalt","1+2",1891
"2080B4010_DeSO2025","65-69","1+2",118
"2080B4010_DeSO2025","70-74","1+2",131
"2080B4010_DeSO2025","75-79","1+2",116
